address,name,online_order,book_table,rate,rating_clean,votes,location,location_clean,rest_type,primary_rest_type,dish_liked,cuisines,primary_cuisine,approx_cost(for two people),cost_for_two,listed_in(type),listed_in(city),city_clean
"90, KH Road, Double Road, Shanti Nagar, Bangalore",Sakae Japanese Restaurant,No,Yes,4.3 /5,4.3,548,Shanti Nagar,,Casual Dining,,"Sushi, Teriyaki Chicken, Miso Soup, Steak, Tea, Rolls, Ramen",Japanese,,"1,400",,Dine-out,Brigade Road,Brigade Road
"99, 3rd Main Road, Hanumanthnagar, Banashankari, Bangalore",Sai Super Sandwich,Yes,No,NEW,3.7,0,Banashankari,,Quick Bites,,,"Sandwich, Beverages",,200,,Desserts,Banashankari,Banashankari
"Shanthipura Road, Behind Foodies Express, Phase 2, Electronic City, Bangalore",Yeruva Biriyani,Yes,No,3.5/5,3.5,40,Electronic City,,Delivery,,,"Biryani, Chinese",,400,,Delivery,Electronic City,Electronic City
"10th Cross, Kundalahalli Colony, ITPL Main Road, Whitefield",Punjabi Park,Yes,No,,3.7,0,"ITPL Main Road, Whitefield",,Quick Bites,,,North Indian,,400,,Dine-out,Brookefield,Brookefield
"Lido Mall, Ulsoor, Bangalore",Gelato Italiano,Yes,No,2.9/5,2.9,17,Ulsoor,,Dessert Parlor,,,"Ice Cream, Bakery, Desserts",,200,,Desserts,Church Street,Church Street
"281/1, Narayalpillai Street, Commercial Street, Bangalore",Grahaira,No,No,,3.7,0,Commercial Street,,Quick Bites,,,North Indian,,300,,Dine-out,Brigade Road,Brigade Road
"23, Meenakshi Koil Street, Opposite Shivajinagar Bus Stop, Shivajinagar, Bangalore",MM Bar & Restaurant,No,No,3.4/5,3.4,6,Shivajinagar,,Bar,,,"South Indian, North Indian",,700,,Dine-out,Church Street,Church Street
"23/2, Vittal Mallya Road, Opposite UB City, Lavelle Road, Bangalore",Cafe Coffee Day The Square,No,No,4.1/5,4.1,388,Lavelle Road,,Cafe,,"Pasta, Sandwich, Sandwiches, Cappuccino, Brownie, Burgers, Hot Chocolate",Cafe,,"1,100",,Dine-out,Church Street,Church Street
"45/1, 45/2, Bangalore Central, 45th Cross, 9th Block, Jayanagar, Bangalore",The Chocolate Room,Yes,No,3.9/5,3.9,153,JP Nagar,,Food Court,,"Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche","Cafe, Desserts",,400,,Delivery,BTM,Btm
"1395, 2nd Cross, Kathriguppe Main Road, Behind BMS College, Basavanagudi, Bangalore",Oasis Food Center,No,No,-,3.7,0,Basavanagudi,,Quick Bites,,,Fast Food,,150,,Dine-out,Basavanagudi,Basavanagudi
"3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar",Subway,No,No,2.7/5,2.7,61,Brigade Road,,Quick Bites,,Sandwich,"Salad, Fast Food",,600,,Dine-out,Brigade Road,Brigade Road
"41, Palani Mudaliar Street, Halasuru, Ulsoor, Bangalore",Amritsari Kulcha Bite,Yes,No,3.9/5,3.9,101,Ulsoor,,Quick Bites,,"Lassi, Amritsari Kulcha, Chole",North Indian,,150,,Dine-out,Brigade Road,Brigade Road
"Shop 72, 16th Main, Outer Ring Road, 2nd Stage, BTM, Bangalore",Akshaya Grand,Yes,No,3.4/5,3.4,29,BTM,,Casual Dining,,,North Indian,,750,,Delivery,BTM,Btm
"59/3, Ground & First Floor, West Anjaneya Temple Road, Ward 49, Gandhi Bazaar, Basavanagudi, Bangalore",Burger King,Yes,No,3.2/5,3.2,71,Basavanagudi,,Quick Bites,,,"Burger, Fast Food, Beverages",,600,,Delivery,Basavanagudi,Basavanagudi
"24, 1st A Cross, 2nd Phase, Main Road, JP Nagar, Bangalore",Marenahalli Donne Biriyani,Yes,No,3.9/5,3.9,259,JP Nagar,,Quick Bites,,,"Biryani, Fast Food",,300,,Delivery,Basavanagudi,Basavanagudi
"102, 5/1 Assays Road, 5th Block, Sindhi Colony, Ulsoor, Bangalore",Xpress Biryani,Yes,No,4.3/5,4.3,148,Ulsoor,,Casual Dining,,"Butter Chicken Biryani, Gulab Jamun, Chicken Tikka Biryani, Dal Bukhara, Hara Bhara Kebab, Mutton Keema, Masala Biryani","Biryani, North Indian, Kebab",,650,,Delivery,Church Street,Church Street
"204, 4th Cross, KSRTC Layout, 2nd Phase, JP Nagar, Bangalore",Cafe Potpourri,Yes,No,3.7/5,3.7,132,JP Nagar,,Cafe,,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts",,400,,Delivery,BTM,Btm
"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,Yes,No,4.2/5,4.2,415,Banashankari,,Quick Bites,,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",,500,,Delivery,Basavanagudi,Basavanagudi
"Shop 45/3, Gopalkrishna Complex, Near Mayo Hall, Off Residency Road, Residency Road, Bangalore",Corner House Ice Cream,Yes,No,4.4/5,4.4,635,Residency Road,,Dessert Parlor,,"Hot Chocolate Fudge, Chocolate Mousse, Ice Cream Strawberry, Vanilla Ice Cream, Thick Shakes, Fruit Salad, Fudge Cake","Ice Cream, Desserts",,400,,Delivery,Church Street,Church Street
"10, Hyderabad Darbar, Shanthipura Road, Electronic City Phase 2, Electronic City, Bangalore",Chination,Yes,No,,3.7,0,Electronic City,,Delivery,,,Chinese,,600,,Delivery,Electronic City,Electronic City
"1st Main, GK Tower, Koramangala 4th Block, Bangalore",Sober Turtle,No,No,3.4/5,3.4,39,Koramangala 4th Block,,Quick Bites,,,"Street Food, Sandwich, Beverages",,250,,Delivery,BTM,Btm
"172/1, GF K 03, Kiosk Unit, Vega City Mall, Srinivas Industrial Estate, Bilekahalli, Bannerghatta Road, Bangalore",Smoor,Yes,No,3.6/5,3.6,18,Bannerghatta Road,,Dessert Parlor,,,"Desserts, Cafe, Beverages",,900,,Dine-out,Bannerghatta Road,Bannerghatta Road
"120, 4th Floor, Lancer Building, Brigade Road, Bangalore",Desi Deck,Yes,Yes,3.9/5,3.9,96,Brigade Road,,"Casual Dining, Bar",,"Balti Gosht, Cocktails, Dal Makhani","Mughlai, North Indian, Desserts",,"1,300",,Pubs and bars,Church Street,Church Street
"25, Opposite KEB Office, 20th Main Road,1st Stage, Maruthinagar, BTM, Bangalore",Jodhpur Sweets & Corner,No,No,3.7 /5,3.7,22,BTM,,"Dessert Parlor, Sweet Shop",,,"Desserts, Street Food, Mithai",,200,,Desserts,BTM,Btm
"7&8, KSV Nilaya Complex, Miller's Road, Vasanth Nagar, Bangalore",Arya Bhavan Sweets,Yes,No,3.2/5,3.2,9,Vasanth Nagar,,"Sweet Shop, Quick Bites",,,"Mithai, Street Food, North Indian",,300,,Dine-out,Church Street,Church Street
"Ashraya Hotel, 149, Infantry Road, Bangalore",The Oriental Spice - Ashraya Hotel,Yes,No,3.9/5,3.9,158,Infantry Road,,Casual Dining,,"Noodles, Lunch Buffet, Fish, Manchurian, Salads, Salad","Chinese, Thai, Indonesian",,"1,300",,Buffet,Brigade Road,Brigade Road
"85, 7th Main Nico Layout, BTM, Bangalore",Dhe Chef Cafe,No,No,,3.7,0,BTM,,Quick Bites,,,"North Indian, Rolls",,200,,Dine-out,BTM,Btm
"28, Ameen House, Sulthangunta, Shivajinagar, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© MH-28,Yes,No,3.4/5,3.4,9,Shivajinagar,,Cafe,,,Cafe,,300,,Cafes,Brigade Road,Brigade Road
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1/5,4.1,520,Banashankari,,Quick Bites,,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",,300,,Dine-out,Banashankari,Banashankari
"Kasavanhalli, Sarjapur Road, Bangalore",Helloo Delhi,Yes,No,3.2/5,3.2,34,Sarjapur Road,,,,,North Indian,,"1,000",,Delivery,Bellandur,Bellandur
"K137, Neeladri Road, Karuna Nagar, Electronic City, Bangalore",Entree cafe,Yes,No,3.7/5,3.7,56,Electronic City,,"Cafe, Bakery",,"Coffee, Burgers, French Fries","Cafe, Bakery, Desserts",,400,,Delivery,Electronic City,Electronic City
"Kaikondrahalli, Sarjapur Road, Bangalore",Burger King,Yes,No,3.8/5,3.8,62,Sarjapur Road,,Quick Bites,,Burgers,"Burger, Fast Food",,500,,Delivery,Bellandur,Bellandur
"86/1, Thubrahalli, Whitefield, Bangalore",Hodge Podge,Yes,No,NEW,3.7,0,Whitefield,,"Quick Bites, Cafe",,,"Desserts, Cafe",,300,,Cafes,Brookefield,Brookefield
"Shop 6, Opposite Gate 12, Wipro Technologies, Electronic City, Bangalore",Parampara - The Veg Kitchen,Yes,No,3.7/5,3.7,255,Electronic City,,Quick Bites,,"Lassi, Vada Pav, Chole Bhature, Thali","North Indian, Chinese, Street Food",,350,,Delivery,Electronic City,Electronic City
"27, 3rd Cross, Outer Ring Road, Marathahalli, Bangalore",Sultan's Biryani,No,No,3.0/5,3,10,Marathahalli,,Delivery,,,"Biryani, North Indian",,700,,Delivery,Brookefield,Brookefield
"26, Opposite Shubh Enclave, Ambalipura Village, Sarjapur Road, Bangalore",The Fisherman's Wharf,Yes,Yes,4.4/5,4.4,4099,Sarjapur Road,,"Casual Dining, Bar",,"Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab","Seafood, Goan, North Indian, Continental, Asian",,"1,400",,Delivery,Bellandur,Bellandur
"2nd Floor, 1 MG Mall, Trinity Circle, MG Road, Bangalore",Mighty Small,No,No,4.1/5,4.1,259,MG Road,,"Casual Dining, Bar",,"Mocktails, Beer, Chips, Pizza, Salsa, Nachos, Roti","Continental, Chinese",,,,Dine-out,Church Street,Church Street
"277, 15th Cross, 21 Main, Outer Ring Road, JP Nagar 5th Phase, JP Nagar, Bangalore",Vaathsalya Millet Cafe,Yes,Yes,4.1/5,4.1,294,JP Nagar,,Casual Dining,,"Khichda, Thali, Jowar Roti, Cucumber Juice, Brownie, Palak Soup, Buttermilk","Healthy Food, South Indian",,500,,Delivery,BTM,Btm
"Shop 1, Site 14, Munnekolalu, Varthur Hobli, Marathahalli, Bangalore",Hot Cross Bun,Yes,No,3.1/5,3.1,8,Marathahalli,,"Takeaway, Delivery",,,Fast Food,,500,,Delivery,Brookefield,Brookefield
"1816, 41st Cross, 9th Block, Jayanagar, Bangalore",Fudge,Yes,No,3.2 /5,3.2,12,Jayanagar,,Dessert Parlor,,,"Desserts, Momos",,200,,Desserts,BTM,Btm
"Shop 1087/A, 14th Main, 18th Cross, 3rd Sector, HSR, Bangalore",Dr. Shawarma,Yes,No,,3.7,0,HSR,,Quick Bites,,,"North Indian, Rolls, Street Food",,200,,Delivery,BTM,Btm
"1845, 18th Block Main Road, 4th T Block, Jayanagar, Bangalore",Adithya Veg,No,No,3.3/5,3.3,10,Jayanagar,,Quick Bites,,,"South Indian, Chinese",,300,,Dine-out,Basavanagudi,Basavanagudi
"21, 1st Floor, Next to Oracle, Kalyani Magnum Technum Park, 7th Phase, JP Nagar, Bangalore",Tandoor And Spice,Yes,No,4.0/5,4,181,JP Nagar,,Casual Dining,,"Egg Biryani, Tandoori Chicken, Chicken Biryani, Paneer Tikka, Mutton Biryani, Noodles, Dal Tadka","North Indian, Chinese, Biryani, Hyderabadi",,550,,Dine-out,BTM,Btm
"15, 7th Cross, Near Mother Teresa School, ITI Layout, Hosapalya Main Road, HSR, Bangalore",It's My Meal Food Service,No,No,,3.7,0,HSR,,Delivery,,,"North Indian, Chinese",,300,,Delivery,Bannerghatta Road,Bannerghatta Road
"Lalbagh Fort Road, basavanagudi, Banglore.",Mezban Family Restaurant,Yes,No,,3.7,0,Basavanagudi,,Quick Bites,,,"Chinese, North Indian",,300,,Delivery,Church Street,Church Street
"A-17, Devatha Plaza, Residency Road, Bangalore",Casa Express,No,No,2.6/5,2.6,26,Residency Road,,Quick Bites,,,"Chinese, Italian",,400,,Dine-out,Brigade Road,Brigade Road
"73, 30th Cross, 4th Block, Jayanagar, Bangalore",Shree Sagar,No,No,2.8/5,2.8,33,Jayanagar,,Casual Dining,,,"North Indian, South Indian, Chinese",,500,,Dine-out,Basavanagudi,Basavanagudi
"18 Puttenahalli Main Road, JP Nagar, Bangalore",Charcoal Flame,No,No,,3.7,0,JP Nagar,,Casual Dining,,,"Awadhi, Biryani",,500,,Delivery,Bannerghatta Road,Bannerghatta Road
"19, V.V.puram National School Road, Basavanagudi, Bangalore",Mulabagilu Dosa,Yes,No,3.6/5,3.6,11,Basavanagudi,,Quick Bites,,,South Indian,,100,,Delivery,Banashankari,Banashankari
"746, 13th Main Road, 7th Cross Road, 2nd Stage, BTM, Bangalore",Panther Cafe,Yes,No,3.5/5,3.5,8,BTM,,Beverage Shop,,,Beverages,,200,,Delivery,BTM,Btm
"294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",Shagun Sweets & Foods,Yes,No,3.6 /5,3.6,223,BTM,,"Sweet Shop, Quick Bites",,"Chaat, Chole Bhature, Thali, Rasmalai, Raj Kachori, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",,400,,Desserts,BTM,Btm
"3, Rest House Road, Off Brigade Road, Brigade Road, Bangalore",Le Rock,Yes,No,4.0/5,4,1205,Brigade Road,,"Bar, Quick Bites",,"Cocktails, Pizza, Murgh Platter, Draught Beer, Chicken Wings, Veg Platter, Fries","Continental, Chinese",,"2,000",,Delivery,Church Street,Church Street
"Chikkamarappa Building, Bettadasapura Main Road, Doddathogur, Phase 1, Electronic City, Bangalore",Bawarchi,No,No,3.0/5,3,29,Electronic City,,Quick Bites,,,"North Indian, Chinese",,400,,Delivery,Electronic City,Electronic City
"36/1, Ground Floor, Haudin Road, Ulsoor, Bangalore",Naachiyar's,Yes,No,3.9/5,3.9,117,Ulsoor,,Casual Dining,,"Crab Soup, Raita, Kozhi Biryani, Mutton Biryani",Chettinad,,600,,Delivery,Brigade Road,Brigade Road
"Opposite Ranka Colony, Bilekahalli, Bannerghatta Road, Bangalore",Tandoor Hut,No,No,2.2/5,2.2,90,Bannerghatta Road,,Casual Dining,,"Noodles, Tandoori Chicken","North Indian, Chinese",,750,,Delivery,BTM,Btm
"289, Next to Central Mall, Outer Ring Road, Bellandur, Bangalore",Atithi Family Bar & Restaurant,Yes,No,3.6/5,3.6,31,Bellandur,,"Casual Dining, Bar",,,"North Indian, South Indian, Andhra",,500,,Pubs and bars,Bellandur,Bellandur
"28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",Canton,Yes,No,3.6/5,3.6,195,Jayanagar,,Casual Dining,,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",,800,,Delivery,Basavanagudi,Basavanagudi
"837, Ground Floor, 26 Main, 11 Cross, 1 Stage, HSR, Bangalore",Waffle Stories,Yes,No,NEW,3.7,0,HSR,,Dessert Parlor,,,"Desserts, Beverages",,300,,Delivery,Bellandur,Bellandur
"24-26, 414/80/2, Varthur Hobli, Outer Ring Road",Tipsy Bull - The Bar Exchange,Yes,Yes,4.4/5,4.4,2182,Bellandur,,"Bar, Casual Dining",,"Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta","North Indian, Chinese, Continental, Mexican",,"1,400",,Drinks & nightlife,Bellandur,Bellandur
"57, Floor 2, 100 Feet Road, Indiranagar, Bangalore",Woodstok,Yes,Yes,4.1/5,4.1,1053,Indiranagar,,"Takeaway, Delivery",,"Buffalo Chicken Wings, Chips, Peri Peri Prawn, Cocktails, Mocktails, Pizza, Mushroom Soup","Continental, Italian, Steak, American",,"1,400",,Delivery,Brigade Road,Brigade Road
"Ground Floor,Vega City Mall, Bannerghatta Road, Bengaluru",Spar Refresh,No,No,3.4/5,3.4,5,Bannerghatta Road,,Food Court,,,"North Indian, South Indian, Pizza",,300,,Dine-out,BTM,Btm
"3/1 , Opposite Krishna Rao Park, Kanakapura Road, Basavanagudi, Bangalore",Cake Yard,No,No,3.4/5,3.4,30,Basavanagudi,,Dessert Parlor,,,Desserts,,250,,Delivery,Banashankari,Banashankari
"8, Raysandra Circle, Naganathapura, Electronic City, Bangalore",Sri Mandarathi,No,No,,3.7,0,Electronic City,,"Quick Bites, Beverage Shop",,,"South Indian, Juices",,350,,Delivery,Electronic City,Electronic City
"Mangammanapalya Road, Nanjundappa Layout, Behind Doddamma Temple, Near Bommanalli, opposite brahmalingeshwara Bakery near MZ Motors (pink house) HSR, Bangalore",Egg Star,Yes,No,3.6/5,3.6,19,HSR,,Delivery,,,"Healthy Food, Sandwich",,300,,Delivery,BTM,Btm
"620, 1st Main Road, C Block, AECS Layout, Brookefield, Bangalore",Breads and Banter,No,Yes,4.2/5,4.2,65,Brookefield,,"Cafe, Bakery",,"Tea, Pizza, New York Cheesecake, Hot Chocolate, Sunday Brunch","Cafe, Bakery, Fast Food",,400,,Delivery,Brookefield,Brookefield
"20th Main Road, Near Gangotri Circle, Maruthi Nagar Main Road, 1st Stage, BTM, Bangalore",New Andhra Spice,Yes,No,3.6/5,3.6,22,BTM,,Casual Dining,,,Andhra,,600,,Dine-out,BTM,Btm
"Shop 1 & 2, Sy 71, Marsur Main Road, Electronic City, Bangalore",Hungry Kya?,No,No,3.3/5,3.3,8,Electronic City,,Quick Bites,,,"North Indian, Chinese",,400,,Dine-out,Electronic City,Electronic City
"23, 14th Main, 4th Sector, Opposite BDA Complex, HSR, Bangalore",Kumarakom,Yes,Yes,3.8/5,3.8,1166,HSR,,Casual Dining,,"Egg Roast, Appam, Fish, Sea Food, Chicken Curry, Chicken Stew, Beef Fry","Kerala, Seafood, South Indian, North Indian, Chinese",,600,,Delivery,BTM,Btm
"3, 1st Floor, 1st Main, 4th T Block, NAL Layout, East End Main Road, Jayanagar, Bangalore",Meraki Patisserie,No,No,3.3 /5,3.3,6,Jayanagar,,Bakery,,,"Bakery, Desserts",,350,,Desserts,BTM,Btm
"Shop 466, 17th G Main Road, Koramangala 6th Block, Bangalore",Waffle Magic,Yes,No,4.1/5,4.1,83,Koramangala 6th Block,,Cafe,,Waffles,"Cafe, Desserts",,700,,Delivery,BTM,Btm
"Citrus Hotels, 34, Cunningham Road, Bangalore",Irene's Cafe & Deli - Citrus Hotels,No,No,,3.7,0,Cunningham Road,,Cafe,,,Cafe,,"1,000",,Cafes,Brigade Road,Brigade Road
"17th Main, Near Soubagya, Koramangala 5th Block, Bangalore",Arafa Juice Center,No,No,3.5 /5,3.5,10,Koramangala 5th Block,,Quick Bites,,,"Juices, Desserts, Fast Food",,250,,Desserts,BTM,Btm
"4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",Healthie,Yes,No,3.9/5,3.9,189,Indiranagar,,Delivery,,"Chicken Salad, Chicken Grill, Salads, Palak Chicken, Chicken Sandwich","Healthy Food, Beverages",,600,,Delivery,Church Street,Church Street
"Opposite Ranka Colony, Off Bannerghatta Road, Bangalore",Bhaijaan Barbeques,Yes,No,3.5/5,3.5,9,South Bangalore,,Food Truck,,,"Mughlai, Arabian, BBQ",,200,,Delivery,BTM,Btm
"Tilak Nagar, Opposite Swagath Garuda Mall, Jayanagar, Bangalore",Fanoos Xprss,Yes,No,3.7/5,3.7,53,Jayanagar,,Quick Bites,,,"Arabian, Rolls, North Indian, BBQ",,400,,Dine-out,Basavanagudi,Basavanagudi
"Doddathoguru Road, Opposite Valankani Gate 2, Near Royal Gym, Phase 1, Electronic City, Bangalore",China Garden,Yes,No,3.6/5,3.6,25,Electronic City,,Quick Bites,,,"Chinese, North Indian",,300,,Dine-out,Electronic City,Electronic City
"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore",Twiststick House,Yes,No,4.1 /5,4.1,169,Basavanagudi,,Quick Bites,,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav","Continental, Fast Food, Street Food, Momos",,500,,Dine-out,Basavanagudi,Basavanagudi
"113, 1st C Main, Prestige Pinnacle, Koramangala 7th Block, Bangalore",Smoor,Yes,No,4.2/5,4.2,99,Koramangala 7th Block,,"Dessert Parlor, Cafe",,"Hot Chocolate, Sandwich, Sushi, Red Velvet, Pumpkin Ravioli, Cajun Fries, Gooey Chocolate Cake","Desserts, Cafe, Beverages",,900,,Cafes,BTM,Btm
"64, St Johns Church Road, Frazer Town, Bangalore",Ambur Biryani,Yes,No,,3.7,0,Frazer Town,,Quick Bites,,,"Biryani, Kebab",,300,,Delivery,Brigade Road,Brigade Road
"Shop 4, 346, 4th Main Road, B Block, AECS Layout, Brookefield, Bangalore",Tandoor Box,Yes,No,3.5/5,3.5,69,Brookefield,,Casual Dining,,"Dal Makhani, Butter Chicken, Tandoori Momos","Mughlai, North Indian, Biryani",,850,,Dine-out,Brookefield,Brookefield
"50/1, Meenal Tower, 1st Cross, Residency Road, Bangalore",Gowdara Naati Mane,Yes,No,,3.7,0,Residency Road,,Casual Dining,,,"South Indian, Biryani",,600,,Delivery,Brigade Road,Brigade Road
"21, 6th Main,Embassy Pristine Iblur Village, Bellandur, Bangalore",PiÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ±ata,No,No,3.7/5,3.7,19,Bellandur,,Bakery,,,Bakery,,400,,Desserts,Bellandur,Bellandur
"125, M.M Road, Near Frontline Polyclinic, Frazer Town, Bangalore",Atty's Bakery,Yes,No,4.0/5,4,73,Frazer Town,,Bakery,,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",Bakery,,250,,Delivery,Church Street,Church Street
"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",Darbar,No,No,3.0/5,3,98,Banashankari,,Bar,,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",,800,,Delivery,Banashankari,Banashankari
"44, 1st Floor, 100 Feet Ring Road, Above Vijaya Bank ATM, Vysya Bank Colony, 2nd Stage, BTM, Bangalore",Desi Aahar,Yes,No,NEW,3.7,0,BTM,,Quick Bites,,,"North Indian, Chinese, Seafood",,400,,Dine-out,BTM,Btm
"296, 100 Feet Ring Road, 5th Phase, JP Nagar, Bangalore",Coconut Grove,No,No,3.4/5,3.4,97,JP Nagar,,"Casual Dining, Bar",,"Lime Soda, Appam, Biryani, Pepper Chicken, Vegetable Stew, Chicken Curry","South Indian, Chettinad, Kerala, Seafood",,"1,100",,Dine-out,Bannerghatta Road,Bannerghatta Road
"Near Tansi Honda, VR Royal Residency Building, Ramagondanahalli, Varthur Main Road, Whitefield",Hyderabad Cuisine,No,No,2.8/5,2.8,70,"Varthur Main Road, Whitefield",,Casual Dining,,"Kori Roti, Fish, Sea Food","Seafood, Biryani, Hyderabadi, North Indian",,650,,Delivery,Brookefield,Brookefield
"1st Floor, Kvs Plaza, Near Infosys Phase 1, Electronic City, Bangalore",Nandanam Family Restaurant,No,No,3.3/5,3.3,4,Electronic City,,Quick Bites,,,"Kerala, Chinese",,400,,Delivery,Electronic City,Electronic City
"The Chancery Pavilion, 135, Residency Road, Bangalore",Alchemy - The Chancery Pavilion,No,Yes,4.3/5,4.3,447,Residency Road,,"Microbrewery, Casual Dining",,"Craft Beer, Stout, Cocktails, Chicken Wings, Brewed Beer, Mysore Pak, Cheesecake",Modern Indian,,"2,000",,Drinks & nightlife,Church Street,Church Street
"43, Velankani Drive, Phase 1, Electronic City, Bangalore",Thanco's Natural Ice Creams,Yes,No,3.7/5,3.7,54,Electronic City,,Dessert Parlor,,Belgian Chocolate,"Ice Cream, Desserts",,450,,Delivery,Electronic City,Electronic City
"The Elanza Hotel, 88/2 Richmond Road, Richmond Road, Bangalore",Cafe @ Elanza,No,No,3.7/5,3.7,145,Richmond Road,,"Casual Dining, Cafe",,"Breakfast Buffet, Omelette, Lunch Buffet, Pasta","Chinese, North Indian, Cafe",,"1,000",,Delivery,Church Street,Church Street
"1st Cross, Bilekahalli, Near IIMB College, Bannerghatta Road, Bangalore",Angel Restaurant,Yes,No,2.8/5,2.8,165,Bannerghatta Road,,Quick Bites,,,"Kerala, South Indian, North Indian",,450,,Delivery,BTM,Btm
"89/1, Raja Ikon, Ground floor, Outer Ring Road, Marathahalli, Bangalore",Estaa Sweets,Yes,No,3.3/5,3.3,5,Marathahalli,,Sweet Shop,,,"Mithai, Desserts",,300,,Delivery,Brookefield,Brookefield
"186, Sri Sai Mansion, Green Glen Layout",Punjabi,No,No,,3.7,0,Bellandur,,Quick Bites,,,"North Indian, Chinese",,500,,Dine-out,Bellandur,Bellandur
"1988, Sector 3, HSR Layout, HSR Club Road, HSR, Bangalore",Kadal Da Meen,Yes,No,3.9/5,3.9,116,HSR,,Casual Dining,,"Sea Food, Anjal Tava Fry, Murgh Ghee Roast","Biryani, Seafood",,900,,Delivery,BTM,Btm
"6, 1st Floor, Besides Pranavas BSR Gitaaar Apartments, Panathur Railway Station Road, Munnireddy Layout, Panathur, Marathahalli, Bangalore",Zangos Grill,Yes,No,,3.7,0,Marathahalli,,Delivery,,,"BBQ, Fast Food",,300,,Delivery,Bellandur,Bellandur
"123, 1st Floor, KHB Colony, Koramangala 5th Block, Bangalore",Hunan,No,Yes,4.3/5,4.3,2241,Koramangala 5th Block,,Casual Dining,,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","Chinese, Thai, Momos",,"1,100",,Delivery,BTM,Btm
"Cantonment Railway Station, Frazer Town, Bangalore",Halli Mane Food Court,No,No,3.5/5,3.5,11,Frazer Town,,Quick Bites,,,South Indian,,100,,Dine-out,Church Street,Church Street
"7, Hosur Main Road, Opposite Forum Mall, Koramangala 7th Block, Bangalore",Kebarbiq,Yes,No,4.0/5,4,138,Koramangala 7th Block,,Casual Dining,,"Burgers, Pulpy Grape Juice, Chicken Wings, Pita Bread, Chicken Grill, Fish Grill, French Fries","North Indian, Arabian, Mughlai, Middle Eastern, Grill",,800,,Dine-out,BTM,Btm
"24-26, 414/80/2, Bellandur Village, Varthur Hobli, Outer Ring Road, Bellandur, Bangalore",Punjabi Times,Yes,Yes,4.1/5,4.1,1691,Bellandur,,"Casual Dining, Bar",,"Papdi Chaat, Thandai, Chole Bhature, Lassi, Paan Ice Cream, Mutton Curry, Raita",North Indian,,"1,100",,Dine-out,Bellandur,Bellandur
"572, 30th Main, 3rd Stage, Banashankari, Bangalore",My Tea House,Yes,Yes,NEW,3.7,0,Banashankari,,Casual Dining,,,"Continental, Asian, North Indian, Tea",,500,,Dine-out,Banashankari,Banashankari
"31, Sree Yellamma Temple Street, Ulsoor, Bangalore",BIB-Breakfast In The Box,Yes,No,,3.7,0,Ulsoor,,Quick Bites,,,"American, Continental",,600,,Dine-out,Church Street,Church Street
"1st Floor, 1st Cross, Next to Bosch Back Gate, Near Someshwara Swamy Temple, Adugodi, Koramangala 7th Block, Bangalore",Innate,No,No,3.3/5,3.3,7,Koramangala 7th Block,,Delivery,,,Beverages,,,,Delivery,BTM,Btm
"G-005, City Centre, 28/4, Church Street, Bangalore",Tata Cha,Yes,No,3.9/5,3.9,67,Church Street,,"Beverage Shop, Cafe",,"Chai, Ginger Tea, Poha, Coffee, Bun Maskas","Cafe, Tea, North Indian",,500,,Delivery,Brigade Road,Brigade Road
